,Close,Momentum_1y,Momentum_6mo,RelativeStrength_1y,RelativeStrength_6mo,PriceVs52WeekHigh,50dMAvs200dMA,Price_Momentum,Model_Value,Rank,algorithm,ask,askSize,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,bid,bidSize,circulatingSupply,currency,dayHigh,dayLow,dividendRate,dividendYield,exDividendDate,expireDate,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiveYearAvgDividendYield,forwardPE,fromCurrency,lastMarket,marketCap,maxAge,maxSupply,navPrice,open,openInterest,payoutRatio,previousClose,priceHint,priceToSalesTrailing12Months,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,startDate,strikePrice,toCurrency,totalAssets,tradeable,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,volume,volume24Hr,volumeAllCurrencies,yield,ytdReturn
NVDA,202.82000732421875,-0.2697994213555679,0.237849976108176,-0.1769876199457865,0.4209060572902048,-0.3588138362284435,1.139858716227737,0.25624082933592796,0.25624082933592796,26.0,,245.8,2200,19373471,13608175,19373471,1.673,245.7,800,,USD,261.52,241.28,0.64,0.0023999999,2020-02-27,-,257.11002,316.32,132.6,0.62,26.594091,,,148758839296,1,,,255.65,,0.1416,263.6,2,13.6251,261.52,241.28,255.65,263.6,16422828,-,,,,True,0.64,0.002427921,53.77655,225.56306,16422828,,,,
DUK,79.27999877929688,0.05630599058966225,-0.0731351231299052,0.19056726713996364,0.06393177142103479,-0.2361499298651424,0.9785194288551016,0.2492171343877394,0.2492171343877394,27.0,,77.97,800,5974571,4414283,5974571,0.210609,76.51,800,,USD,79.7472,76.36,3.78,0.0467,2020-02-13,-,90.06057,103.79,62.13,4.23,14.20696,,,56938627072,1,,,77.92,,0.73870003,80.88,2,2.309134,79.7472,76.36,77.92,80.88,4478400,-,,,,True,3.745,0.046303164,15.336101,92.03759,4478400,,,,
INTC,47.61000061035156,0.025279239967491866,0.011752473572438242,0.1555968759601789,0.16137273977035838,-0.31288785379778383,0.9880221649737817,0.2480259817266338,0.2480259817266338,28.0,,52.26,1200,41517285,31237201,41517285,0.955661,51.71,1300,,USD,54.68,51.435,1.32,0.024400001,2020-05-06,-,56.341713,69.29,42.86,2.66,10.566192,,,221890756608,1,,,52.5,,0.2675,54.12,2,3.083315,54.68,51.435,52.5,54.12,29586562,-,,,,True,1.26,0.023281597,11.014862,57.024746,29586562,,,,
BMY,50.2400016784668,-0.160756113268005,0.13499144627241297,-0.054084413425827704,0.3028365731778353,-0.26485218498000007,0.9926636189707724,0.24414089843569498,0.24414089843569498,29.0,,55.54,1100,20172971,16368891,20172971,0.779097,54.62,1400,,USD,55.7,53.52,1.8,0.0323,2020-04-02,-,58.008,68.34,42.48,2.71,7.418133,,,124028051456,1,,,53.62,,0.8358,55.74,2,4.7438536,55.7,53.52,53.62,55.74,13059624,-,,,,True,1.68,0.030139934,27.273632,58.436714,13059624,,,,
GOOG,1096.800048828125,-0.061111545346972336,0.014700589453308736,0.05822543047542794,0.16475682975991668,-0.28412260716417465,0.9796277094886476,0.2296218406399544,0.2296218406399544,30.0,,1113,900,3330114,2293293,3330114,1.025336,1110.04,800,,USD,1129.5,1097.45,,,-,-,1289.0682,1532.106,1013.536,,18.638233,,,759594090496,1,,,1122,,0,1162.81,2,4.692995,1129.5,1097.45,1122,1162.81,2312280,-,,,,True,,,22.488865,1315.8756,2312280,,,,
KO,44.849998474121094,0.026085721035678973,-0.09830035313602352,0.15650586442555303,0.035045049735086486,-0.25411610719905053,0.9586144656641681,0.22401231815643927,0.22401231815643927,31.0,,42.5,800,35215928,19772348,35215928,0.433095,42.31,1200,,USD,43.65,41.8,1.64,0.037100002,2020-03-13,-,51.681427,60.13,36.27,3.19,18.393013,,,180838006784,1,,,42.48,,0.7729,44.25,2,4.852627,43.65,41.8,42.48,44.25,20257095,-,,,,True,1.6,0.036158193,20.347826,53.91263,20257095,,,,
GOOGL,1091.18994140625,-0.07296083393647557,0.007748330439405756,0.04487004362802183,0.15677645480707825,-0.2871487375999517,0.978440690433305,0.22323461281711332,0.22323461281711332,32.0,,1110,800,3641314,2480262,3641314,1.025336,1098.78,800,,USD,1129.42,1093.765,,,-,-,1286.5591,1530.74,1008.87,,18.701849,,,757735620608,1,,,1124,,0,1161.95,2,4.681513,1129.42,1093.765,1124,1161.95,2598519,-,,,,True,,,22.417265,1314.9076,2598519,,,,
LMT,333.4100036621094,-0.007945297229247963,-0.06612360542697668,0.11814934957605683,0.07198016837315313,-0.2465821443470287,0.9489847649128331,0.2231330346287536,0.2231330346287536,33.0,,340.9,800,2768557,1830803,2768557,1.012668,335.21,1000,,USD,340.99,322.0101,9.6,0.028299998,2020-02-28,-,368.84058,442.53,266.11,2.59,12.793651,,,95417950208,1,,,324.83,,0.41,338.95,2,1.5952978,340.99,322.0101,324.83,338.95,1976313,-,,,,True,9,0.026552588,15.422322,388.6686,1976313,,,,
NFLX,315.4700012207031,-0.13249001370668534,-0.14115758757934926,-0.02222556456268676,-0.01415001040514674,-0.19833807374287676,1.124228086282689,0.2223786093929947,0.2223786093929947,34.0,,366.9,3100,9573114,7837306,9573114,1.232779,365.82,1300,,USD,380.233,361.02,,,-,-,360.49228,393.52,252.28,,43.394512,,,159760842752,1,,,376.05,,0,375.5,2,7.926042,380.233,361.02,376.05,375.5,6672454,-,,,,True,,,88.15496,320.6576,6672454,,,,
MRK,71.62999725341797,0.0489922177131967,-0.127009762307025,0.18232388059895288,0.0020900275759763165,-0.22679191220403747,0.9224506453627113,0.22001816033340074,0.22001816033340074,35.0,,74.95,1100,16083900,13705254,16083900,0.692003,73.26,800,,USD,75.47,72.99,2.44,0.0317,2020-03-13,-,77.66314,92.64,65.25,2.99,11.751593,,,187176747008,1,,,74.66,,0.59319997,76.94,2,3.9960876,75.47,72.99,74.66,76.94,11130017,-,,,,True,2.2,0.02859371,19.370079,84.19219,11130017,,,,
PYPL,91.45999908447266,0.0844202401676332,-0.2009435626766497,0.22225496519898047,-0.08277727202520246,-0.26508638742890595,0.9956301572258346,0.21750536574267665,0.21750536574267665,36.0,,92.35,800,11187685,9530148,11187685,0.920029,91.31,800,,USD,94.67,90.38,,,-,-,106.599144,124.45,82.07,,22.179611,,,107185078272,1,,,92.72,,0,95.74,2,6.0311213,94.67,90.38,92.72,95.74,9628376,-,,,,True,,,44.144928,107.06701,9628376,,,,
ABBV,71.02999877929688,-0.16874369641056117,0.0347444654492009,-0.06308725457016107,0.1877648399096441,-0.2741671900746283,1.0055498670427017,0.2140150655768891,0.2140150655768891,37.0,,73.95,1000,16718757,12331819,16718757,0.791765,72.71,1000,,USD,73.99,71.43,4.72,0.062,2020-04-14,-,83.63114,97.86,62.55,3.85,7.0800385,,,108417105920,1,,,72.12,,0.8106,76.19,2,3.2590966,73.99,71.43,72.12,76.19,12717076,-,,,,True,4.39,0.057619106,13.905302,83.16956,12717076,,,,
