iShares S&P 100 ETF
Fund Holdings as of,"Mar 31, 2020"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"40,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CVS","CVS HEALTH CORP","Equity","0.55","59.33","446,747.00","26,505,499.51","26,505,499.51","Health Care","2577609","US1266501006","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.54","94.33","278,603.00","26,280,620.99","26,280,620.99","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.51","38.67","641,518.00","24,807,501.06","24,807,501.06","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.51","50.08","494,449.00","24,762,005.92","24,762,005.92","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"GE","GENERAL ELECTRIC","Equity","0.49","7.94","2,999,148.00","23,813,235.12","23,813,235.12","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.49","436.31","53,848.00","23,494,420.88","23,494,420.88","Communication","BZ6VT82","US16119P1084","NASDAQ"
"LOW","LOWES COMPANIES INC","Equity","0.47","86.05","263,200.00","22,648,360.00","22,648,360.00","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.47","93.42","240,650.00","22,481,523.00","22,481,523.00","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.46","116.04","189,792.00","22,023,463.68","22,023,463.68","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.42","80.88","250,359.00","20,249,035.92","20,249,035.92","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.41","177.10","112,739.00","19,966,076.90","19,966,076.90","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.41","85.61","230,410.00","19,725,400.10","19,725,400.10","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"BIIB","BIOGEN INC","Equity","0.41","316.38","61,973.00","19,607,017.74","19,607,017.74","Health Care","2455965","US09062X1037","NASDAQ"
"CL","COLGATE-PALMOLIVE","Equity","0.40","66.36","294,302.00","19,529,880.72","19,529,880.72","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.40","54.14","360,146.00","19,498,304.44","19,498,304.44","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
